Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation
USA;CA;2018;12;Male;16.0;Right-Handed;157;28;153;2;Car;18;.322;44;Football (American);893;652.0;840.0;481.0;0.0;850.0;28;Same length;86;84;Index finger;September;Fall;Yes;No;Meat;Water;History;5;10;5.0;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;20;65;39;8;12;1;17;2;8;1;12;1;0;1;A lot;Graduate degree;Rap/Hip hop;Freeze time;Famous;Business person;Health
USA;CA;2015;6;Female;12.0;Right-Handed;162;25;51;1;Car;15;0.615;41;Other;390;663.0;1000.0;578.0;1000.0;1000.0;25;Same length;70;750;Ring finger;January;Winter;Yes;No;Seafood;Soft drink (non-caffeinated);Art;9;11;2.0;Yes - other;Text messaging;8;3;12;1;18;7;8;0;6;4;10;11;0;0;Very little;Graduate degree;Pop;Fly;Happy;Relative;Health
USA;CA;2019;11;Male;17.0;Right-Handed;176;29;150;2;Walk;1`;0.387;53;Skateboarding/Rollerblading;500;300.0;756.2494331065759;657.9519230769231;782.7097505668934;1256.514739229025;24;Same length;70;70;Ring finger;April;Winter;No;No;Meat;Water;History;7;10;116.64806378132118;Yes - broadband connection;Text messaging;0;0;5;1;10;5;0;0;0;1;10;0;0;1;Some;Graduate degree;Rap/Hip hop;Freeze time;Happy;Relative;Health
USA;CA;2013;12;Female;16.0;Right-Handed;155;21;157;1;Car;15;.774;41;Other;600;500.0;500.0;500.0;300.0;1000.0;21;Same length;70;68;Index finger;August;Spring;Yes;No;Meat;Water;English;7;10;2.0;Yes - other;Cell phone;50;50;12;2;5;3;1;0;25;20;25;0;0;5;Some;Graduate degree;Rock and roll;Telepathy;Happy;Relative;Religious
USA;CA;2023;10;Female;16.0;Right-Handed;164,59;24;150;1;Bus;15;.47;0.367;Cycling;999;1000.0;1000.0;1000.0;888.0;999.0;24;Left foot;70;70;Ring finger;November;Fall;No;No;Breads/Sandwiches;Water;English;5-jun;4-may;7.0;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;0;0;5-jun;6-jul;1-feb;5-jun;1-feb;0;7-ago;2-mar;5-jun;2-mar;0;2-mar;Some;Some college;Other;Freeze time;Happy;Relative;Religious
USA;CA;2015;12;Male;17.0;Right-Handed;179;26;182;2;Walk;15;0.768;39;Other;0;700.0;800.0;1000.0;700.0;800.0;26;Same length;110;125;Ring finger;January;Spring;No;No;Seafood;Water;History;7;8;3.0;Yes - broadband connection;Internet chat or instant messaging;32;29;8;4;10;7;0;30;40;7;50;10;0;5;Some;High school;Classical;Freeze time;Happy;Relative;Health
USA;CA;2016;12;Female;15.0;Right-Handed;165;24;169;2;Car;7;0.344;39;Tennis;1000;727.0;872.0;882.0;807.0;802.0;24;Same length;7.4;7.5;Ring finger;September;Fall;Yes;No;Pizza/Pasta;Water;English;6;8;4.0;Yes - broadband connection;Internet chat or instant messaging;6;6;32;1;28;34;1;0;11;1;29;1;0;2;Very little;Graduate degree;Other;Invisibility;Happy;Relative;Health
USA;CA;2016;12;Female;15.0;Right-Handed;160;21.6;160;2;Bus;15;0.635;60;Dancing;1000;664.0990990990991;756.2494331065759;657.9519230769231;782.7097505668934;1256.514739229025;20.3;Right foot;63.5;63.5;Ring finger;September;Winter;No;No;Meat;Juice;History;6;9;3.0;Yes - other;Text messaging;200;300;30;2;12;12;5;0;50;40;60;70;0;10;Some;Graduate degree;Other;Fly;Happy;Relative;International aid
USA;CA;2013;7;Female;12.0;Right-Handed;159;20;146;1;Car;20;0.484;47;Martial Arts;1000;900.0;1000.0;900.0;500.0;500.0;20;Same length;65;70;Ring finger;April;Summer;No;No;Seafood;Water;Mathematics and statistics;9;7;4.0;Yes - broadband connection;Cell phone;4;5;5;1;3;1;3;1;0;1;1;1;0;2;Some;Graduate degree;Pop;Telepathy;Happy;Business person;International aid
USA;CA;2018;6;Male;10.0;Right-Handed;140;17;45;2;Car;7;0.469;46;Basketball;813;904.0;1000.0;1000.0;497.0;666.0;17;Left foot;70;60;Index finger;August;Summer;No;No;Fruit;Water;Social studies;10;9;4.0;Yes - broadband connection;Other;0;0;300;0;500;0;300;700;0;0;300;70;1;200;Very little;Graduate degree;Rap/Hip hop;Freeze time;Happy;Other;International aid
