Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation
USA;AL;2023;12;Male;18;Right-Handed;177,8;27;170;1;Car;15;0.038;69;Walking/Hiking;1000;1000;1000;1000;749;749;27;Same length;85;80;Index finger;September;Summer;No;No;Meat;Water;Computers and technology;6;8;6;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;3;4;45 hr;20hr;30hr;25hr;20hr;15 hr;10min;50 hr;5 hr;20 hr;12 hr;2 hr;A lot;High school;Country;Fly;Healthy;Relative;Religious
USA;AL;2022;12;Male;18;Right-Handed;182,8;26;188;2;Car;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;AL;2022;12;Female;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;AL;2023;12;Female;18;Right-Handed;162,5;335.2;162,5;1;Car;15;0.405;42;None;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;AL;2023;12;Male;17;Right-Handed;195;13 in;198,12;1;Car;15;0.455;68;Baseball/Softball;0;481;684;765;0;531;13in;Same length;idk;idk;Ring finger;October;Fall;Yes;Yes;Meat;Soft drink (caffeinated);Physical education;8;10;3;Yes - other;Other;400;450;8;12;0;3;12;0;0;6;20;20;0;1;Very little;Some college;Country;Freeze time;Rich;Coach or club leader;Health
USA;AL;2022;12;Male;18;Right-Handed;180;28;186;1 1/2;Car;10;0.357;43;Other;10;2;3;3;5;7;28;Same length;8.5;9;Ring finger;September;Summer;Yes;No;Seafood;Water;Mathematics and statistics;8;9;5;Yes - dial-up connection;In person;8;10;10;1;1;8;10;4;3;3;8;4;0;7;Some;Some college;Country;Fly;Rich;Coach or club leader;Wildlife, animals
USA;AL;2023;12;Female;17;Right-Handed;155,45;22;155;3;Car;900;.399;52;Lacrosse;400;800;700;1000;500;900;22;Same length;24.5;23;Index finger;April;Winter;Yes;No;Fruit;Water;Music;4;8;3;Yes - other;In person;150;200;77;14;42;0;7.5;3;5;84000;50;.5;0;0;A lot;Graduate degree;Other;Telepathy;Famous;Friend;Health
USA;AL;2023;12;Male;18;Right-Handed;170;28;240;1;Car;15;0.323;70;Skateboarding/Rollerblading;497;401;963;861;647;1000;28;Same length;7;7;Ring finger;December;Summer;Yes;No;Seafood;Sports drink;Other;7;10;4;Yes - broadband connection;Text messaging;8;6;15;5;0;5;0;5;8;4;12;0;18;3;None;Some college;Techno/Electronic;Freeze time;Healthy;Musician or singer;Education/Youth development
USA;AL;2022;12;Male;18;Right-Handed;182,9;28;180;1;Car;15;0.34;41;Football (American);500;700;400;1000;1000;1000;28;Same length;200;210;Ring finger;October;Summer;Yes;No;Meat;Water;Mathematics and statistics;7;10;4;Yes - other;Myspace, Facebook, other social networking sites, or blog;30;40;5;0;7;2;0;2;4;1;8;2;5;0;A lot;Graduate degree;Rap/Hip hop;Freeze time;Famous;Sports person;Wildlife, animals
USA;AL;2022;12;Male;17;Right-Handed;177;25.4;184;2;Car;30;.281;43;Soccer;850;652;513;797;342;497;25.4;Same length;7.7;7;Index finger;March;Winter;No;No;Meat;Water;Physical education;6;8;5;Yes - other;In person;4;4;5;2;0;5;25;5;15;2;5;5;10;2;Some;Graduate degree;Rap/Hip hop;Fly;Rich;Sports person;Environment
USA;AL;2023;12;Female;18;Right-Handed;177,8;27.5;180;1;Car;15;0.398;36;Basketball;551;374;620;551;390;513;27.5;Same length;8;9;Ring finger;November;Winter;Yes;No;Seafood;Soft drink (caffeinated);Physical education;5;8;4;;Text messaging;100;56;8;240;0;2;5;0;20;40;10;0;5;1;Some;Graduate degree;Rap/Hip hop;Super strength;Rich;Friend;International aid
USA;AL;2015;12;Male;16;Right-Handed;180;29;174;1;Car;5;.794;56;Football (American);750;600;1000;800;1000;1000;28;Right foot;85;85;Ring finger;November;Winter;No;No;Meat;Energy drink;Other;7;10;4;Yes - other;Text messaging;50;30;15;1;3;28;9;0;1;1;1;4;0;3;Some;Other;Pop;Fly;Happy;Sports person;Religious
USA;AL;2022;12;Female;18;Right-Handed;160;30.5;160;1;Car;18;0.757;45;Dancing;100;150;500;200;780;980;30;Right foot;60;60;Index finger;October;Fall;No;No;Rice/Noodle dishes;Tea;History;7;5;5;Yes - dial-up connection;Text messaging;83;123;10;1;0;4;0;0;0;1;3;1;22;1;Some;Graduate degree;Country;Freeze time;Healthy;Relative;Health
USA;AL;2022;12;Male;17;Right-Handed;178;27;180;1;Car;15;0.433;40;Football (American);0;0;0;0;500;1000;28;Left foot;80;70;Index finger;April;Winter;No;No;Seafood;Juice;History;6;8;3;Yes - other;Text messaging;15;20;20;3;6;5;7;2;9;3;6;2;16;4;Some;Graduate degree;Country;Fly;Healthy;Friend;Wildlife, animals
USA;AL;2022;12;Male;18;Right-Handed;188;29.2;73;2;Car;10;0.36;46;None;374;663;1000;1000;1000;1000;29.2;Same length;35mm;45;Same length;September;Summer;Yes;No;Poultry;Water;Science;7;10;4;Yes - other;Cell phone;12;9;35;4;1;60;10;30;12;6;21;0;35;20;Some;High school;Rap/Hip hop;Super strength;Famous;Musician or singer;Health
USA;AL;2022;12;Male;17;Right-Handed;190,5;27;188;1;Car;15;.291;40;Other;o;3;0;1;3;6;27;Same length;90;80;Index finger;April;Fall;No;No;Desserts;Milk;Art;8;9;4;Yes - broadband connection;Text messaging;20;100;8;0;0;8;3;2;0;2;5;4;8;3;None;Some college;Other;Freeze time;Happy;Community leader or elder;Religious
USA;AL;2023;12;Female;17;Right-Handed;167;25;170;1;Car;10;0.545;29;Other;1000;872;497;786;337;380;27;Left foot;5 1/2;5;Index finger;March;Spring;Yes;No;Desserts;Tea;History;5;12;4;Yes - broadband connection;Text messaging;20;15;15;2;2;20;1;35;1;1;15;4;1;2;Very little;Undergraduate degree;Rock and roll;Invisibility;Healthy;Musician or singer;Wildlife, animals
USA;AL;2022;12;Female;18;Right-Handed;148,8;24.1;200;2;Car;27;0.48;.62;Athletics;8;5;9;7;8;9;24.8;Left foot;8;9;Ring finger;October;Summer;Yes;No;Fruit;Soft drink (caffeinated);History;4;5;5;Yes - broadband connection;In person;53;24;1;4;0;2;2;0;4;1;1;3;2;0;Some;High school;Rap/Hip hop;Fly;Healthy;Coach or club leader;Religious
