Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation;;
USA;CA;2018;6;Male;12;Right-Handed;148;30;72;1;Car;15;0.328;99;Athletics;1000;1000;1000;1000;1000;1000;30;Same length;17;14;Index finger;March;Summer;Yes;No;Seafood;Water;Other;8;6;5;Yes - dial-up connection;In person;0;0;6;2;24;5;3;10;0;0;10;1;0;1;A lot;Other;Rap/Hip hop;Freeze time;Healthy;Relative;Other;;
USA;CA;2010;12;Male;17;Right-Handed;190;;30;3;Car;20;.145;7;Swimming;1000;1000;1000;;0;0;30;Same length;102;102;Same length;March;Summer;Yes;No;Rice/Noodle dishes;Water;Science;6;10;6;No internet connection;In person;0;0;1;.1;50;22;18;6;.01;.001;3;0;0;1;A lot;Other;Classical;Freeze time;Healthy;Relative;Education/Youth development;;
USA;CA;2013;12;Male;17;Right-Handed;170;24;172;2;Car;20;.312;37;Lacrosse;863;880;943;970;0;500;25.5;Left foot;68;76;Ring finger;September;Winter;Yes;No;Rice/Noodle dishes;Water;Mathematics and statistics;8.5;9;4;Yes - broadband connection;Text messaging;130;140;12;1;20;18;5;0;2;3;7;0;0;3;None;Graduate degree;Rhythm and blues (R&B);Freeze time;Rich;Friend;Health;;
USA;CA;2022;11;Female;16;Ambidextrous;125,27;4.10;7,5;4;Car;5;0.97;1.56;Soccer;1000;550;1000;1000;480;1000;4.10;Same length;6.5;6.6;Same length;November;Winter;No;No;Pizza/Pasta;Water;History;6;12;5;Yes - other;In person;80;120;10;4;24;20;15;10;10;5;15;10;10;10;Some;Graduate degree;Reggae;Invisibility;Healthy;Friend;International aid;;
USA;CA;2016;12;Female;16;Right-Handed;162,5;24.1;44,45;2;Bus;40;0.333;42;Walking/Hiking;1000;1000;1000;1000;259;675;24.1;Same length;9.5;10;Ring finger;September;Fall;No;Yes;Desserts;Water;English;5;8;5;No internet connection;In person;2;56;3;0;4;3;2;0;1;1;2;0;4;1;A lot;Graduate degree;Rock and roll;Invisibility;Happy;Community leader or elder;Wildlife, animals;;
USA;CA;2015;7;Female;13;Right-Handed;147,7;25;148;1;Car;25;.403;41;Dancing;800;1000;857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;CA;2019;12;Female;18;Left-Handed;170;24.6;168;1;Bus;70;0.41;41;Other;711;412;754;465;647;877;24.6;Same length;85;90;Ring finger;August;Summer;No;No;Breads/Sandwiches;Water;Art;6;8;5;Yes - broadband connection;In person;20;20;50;2;10;;;;;;;;;;;;;;;;;;
USA;CA;2023;10;Female;15;Right-Handed;;;;1;Walk;12; 0.29;45;None;599;578;513;715;0;364;;;;;;December;Winter;No;No;Meat;Water;Art;;7;8;Yes - other;Text messaging;10;11;15;2;7;1;14;4;1;1;21;5;0;7;Some;Some college;Country;Freeze time;Rich;Friend;Wildlife, animals;;
USA;CA;2017;12;Male;17;Left-Handed;179,3;27.94;187,9;2;Bus;40;.6;42;Tennis;3;3;3;3;3;3;27.5;Same length;200;2000;Same length;June;Winter;Yes;No;Seafood;Milk;Mathematics and statistics;3;18;7;Yes - broadband connection;Text messaging;100;3;0;0;0;0;0;8;0;1;8;2;6;1;A lot;Graduate degree;Rock and roll;Freeze time;Rich;Business person;Other;;
USA;CA;2016;12;Female;16;Right-Handed;155;21.5;148;2;Car;15;;;Running/Jogging;4;4;5;5;1000;1000;21.5;Same length;7.7;7.6;Index finger;November;Summer;Yes;No;Rice/Noodle dishes;Water;Languages;5;7;6;Yes - other;Myspace, Facebook, other social networking sites, or blog;5;5;7;14;7;3;2;0;14;1;14;0;0;2;A lot;Undergraduate degree;Pop;Invisibility;Healthy;Teacher;Education/Youth development;;
